Key,Value
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1730,9335.63411774838
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1731,9336.364153348386
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1732,9337.045035148381
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1733,9337.77617024839
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1734,9338.634532398402
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1735,9339.544441348375
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1736,9340.284095223427
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1737,9340.95376034838
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1738,9341.754302098394
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1739,9342.374286773384
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1740,9344.172031673372
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1741,9345.043855673373
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1742,9345.784230198384
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1743,9346.774753248394
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1744,9347.45585679841
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1745,9348.13375424838
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1746,9348.870811823428
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1747,9349.624297123373
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1748,9350.304264223396
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1749,9352.364279773414
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1750,9353.163805198372
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1751,9354.093865348399
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1752,9354.894333198428
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1753,9355.574189423382
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1754,9356.4342793234
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1755,9357.233860173405
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1756,9357.913808798372
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1757,9358.714267373383
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1758,9359.384191223384
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1759,9361.36576394838
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1760,9362.253812398374
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1761,9363.223888573408
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1762,9363.910923823416
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1763,9364.704351223409
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1764,9365.494323048413
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1765,9366.414460048378
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1766,9367.093863548398
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1767,9367.954415448427
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1768,9369.731852048397
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1769,9370.544774648428
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1770,9371.584774873376
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1771,9372.27448957342
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1772,9372.894141648412
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1773,9373.57456147337
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1774,9374.374585798383
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1775,9375.404321023405
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1776,9376.0841033234
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1777,9376.831527548373
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1778,9378.944947048425
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1779,9379.704687448382
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1780,9380.614882823407
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1781,9381.404457348406
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1782,9382.134206548393
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1783,9382.934110773385
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1784,9383.604551998376
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1785,9384.344492298424
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1786,9385.314568448424
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1787,9387.287548523425
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1788,9388.084126548409
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1789,9388.884566648423
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1790,9389.614556048393
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1791,9390.234106473386
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1792,9391.084134648383
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1793,9391.754511223377
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1794,9392.674851498425
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1795,9393.404508298398
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1796,9394.014218698383
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1797,9396.097591548383
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1798,9396.914172973395
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1799,9397.834587148427
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1800,9398.634990323424
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1801,9399.49160619843
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1802,9400.294808898389
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1803,9401.034176348388
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1804,9401.764664673388
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1805,9402.565114023388
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1806,9601.726196623385
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1807,9602.455955048383
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1808,9603.145401798427
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1809,9603.82246772337
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1810,9604.685985473394
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1811,9605.485861973404
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1812,9606.225460398377
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1813,9607.078149523377
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1814,9607.75552034843
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1815,9608.485860848426
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1816,9610.488545698405
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1817,9611.265730148374
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1818,9611.995405423402
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1819,9612.785848448395
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1820,9614.296209923386
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1821,9615.225743448376
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1822,9615.89582434839
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1823,9616.686147273422
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1824,9617.426392448426
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1825,9619.375996748387
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1826,9620.235726323426
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1827,9621.08551424837
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1828,9621.995561798394
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1829,9622.725966998398
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1830,9623.576216898382
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1831,9624.375917873382
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1832,9625.105537698388
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1833,9625.905598998428
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1834,9626.578802823424
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1835,9628.517744798422
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1836,9629.516324623406
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1837,9630.185564748406
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1838,9631.03562062341
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1839,9632.015924848378
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1840,9632.796130598426
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1841,9633.666356173397
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1842,9634.285952798426
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) timestamp #1843,9635.045600798428
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0001,9636.84085104841
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0002,9637.52644497341
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0003,9638.205709873379
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0004,9638.87576304841
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0005,9639.666159898401
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0006,9640.576493873417
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0007,9641.316166198372
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0008,9641.995745248378
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0009,9642.726141198396
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0010,9643.340868623376
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0011,9645.22448484838
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0012,9646.346041573404
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0013,9647.205743448376
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0014,9648.116003498375
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0015,9648.975686873377
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0016,9649.656097473384
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0017,9650.333024798394
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0018,9651.12564834839
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0019,9651.82570197338
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0020,9653.966442473411
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0021,9654.826181298375
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0022,9655.566315598428
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0023,9656.356019498407
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0024,9657.155554148376
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0025,9657.825708973407
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0026,9658.559200123429
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0027,9659.235674698413
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0028,9659.965710323393
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0029,9660.639098923386
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0030,9662.63560259843
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0031,9663.516388848424
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0032,9664.316182198405
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0033,9665.35317959839
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0034,9666.155864898383
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0035,9666.835767323375
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0036,9667.636493873417
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0037,9668.553489473403
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0038,9669.235720223427
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0039,9671.055870773374
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0040,9671.786331373394
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0041,9672.583713248372
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0042,9673.195982998372
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0043,9673.865814423381
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0044,9674.536329573393
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0045,9675.406471998394
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0046,9676.195954148412
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0047,9676.935811273395
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0048,9677.626412973405
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0049,9679.769814423382
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0050,9680.766675723375
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0051,9681.706825348378
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0052,9682.396549298406
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0053,9683.25877352339
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0054,9684.01607469839
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0055,9684.811423898398
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0056,9685.486567998409
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0057,9686.353615223408
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0058,9688.416402598381
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0059,9689.206078773379
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0060,9690.015933873416
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0061,9690.696390648425
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0062,9691.316292173386
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0063,9692.056010698378
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0064,9692.726405748426
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0065,9694.00672372341
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0066,9694.681535223424
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0067,9695.306620048405
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0068,9697.40608799839
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0069,9698.406635823369
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0070,9699.326560348392
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0071,9700.12599334842
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0072,9700.933159773409
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0073,9701.726670323373
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0074,9702.577040348411
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0075,9703.19622119838
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0076,9703.996245523393
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0077,9901.75809859842
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0078,9902.427865348398
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0079,9903.097678323387
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0080,9903.777442148388
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0081,9904.528044748426
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0082,9905.19735877341
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0083,9905.927338923395
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0084,9906.54801657343
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0085,9907.467774773419
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0086,9908.267337123394
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0087,9910.149779948413
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0088,9911.107355148375
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0089,9911.907684398413
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0090,9912.637655323386
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0091,9913.487609573423
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0092,9914.117360348404
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0093,9915.03733104837
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0094,9915.707753798426
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0095,9916.63810039842
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0096,9919.497789198398
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0097,9920.417935448408
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0098,9921.257458373428
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0099,9922.167468973399
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0100,9922.967400898397
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0101,9923.877818023384
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0102,9924.667780623377
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0103,9925.406880123377
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0104,9926.087438548386
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0105,9926.777476623416
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0106,9928.696969573379
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0107,9929.708170473397
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0108,9930.437975098372
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0109,9931.3478378734
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0110,9932.257654423416
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0111,9933.30782727343
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0112,9934.047518098414
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0113,9934.607788298428
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0114,9935.337805423378
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0115,9936.84027639842
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0116,9937.508028973401
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0117,9938.19748497337
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0118,9938.987271998405
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0119,9939.667802698374
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0120,9940.648153123379
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0121,9941.378050148427
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0122,9942.049821873426
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0123,9942.84778579837
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0124,9943.45790277338
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0125,9945.245493523418
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0126,9946.247538148404
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0127,9946.980068398416
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0128,9947.778198648393
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0129,9948.508215773403
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0130,9949.177529798388
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0131,9949.854586473406
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0132,9950.718011823416
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0133,9951.387944898426
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0134,9953.447960448384
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0135,9954.2980625484
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0136,9955.027432898401
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0137,9955.827799098373
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0138,9956.49786152339
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0139,9957.58823514843
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0140,9958.378040673375
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0141,9959.047391673386
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0142,9959.843036523402
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0143,9960.518430098415
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0144,9962.424424223424
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0145,9963.318201123417
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0146,9964.598565298378
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0147,9965.345093298376
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0148,9966.147824798405
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0149,9967.298328673422
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0150,9968.167879773378
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0151,9969.0278865484
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0152,9969.708158548414
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0153,9971.478028048396
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0154,9972.217700398385
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0155,9973.18759177339
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0156,9973.867623548389
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0157,9974.598185798406
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0158,9975.338052173376
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0159,9976.127737573384
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0160,9976.927697248399
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0161,9977.598166198373
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0162,9978.51844179839
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0163,9980.478255673408
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0164,9981.30845599842
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) timestamp #0165,9982.10774119842
