Key,Value
- Device,Ti ZDrive Andor Zyla VSC-01915
- Equidistant (Period 300000 ms)  Z Stack Loop,19
- Step,5 µm
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0001,1.0462317733764648
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0002,1.6754096984267235
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0003,2.347329248428345
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0004,3.0174932984113694
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0005,3.7122804483771326
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0006,4.637295898377896
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0007,5.437699048399925
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0008,6.04772359842062
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0009,7.017762823402881
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0010,7.747281023383141
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0011,9.65383877336979
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0012,10.34761882340908
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0013,11.017644298374654
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0014,11.697528223395347
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0015,12.308319673418998
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0016,13.338045648396015
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0017,14.078115273416042
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0018,14.807661198377609
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0019,15.547518323421478
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0020,17.557613198399544
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0021,18.408047898411752
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0022,19.26815629839897
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0023,20.08817477339506
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0024,21.478257248401643
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0025,22.27831854838133
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0026,23.018027823388575
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0027,24.133144673407077
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0028,24.8774921733737
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0029,25.577619723379613
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0030,27.63509442341328
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0031,28.45771842342615
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0032,29.31852902340889
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0033,30.058099723398687
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0034,30.84751719838381
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0035,31.57761747342348
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0036,32.378057573378086
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0037,32.978066598415374
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0038,33.767668848395346
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0039,35.567982323408124
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0040,36.24792169839144
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0041,37.15832957339287
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0042,38.00807132339477
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0043,38.687567223370074
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0044,39.41793544840813
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0045,40.26857342338562
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0046,41.008042473375795
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0047,41.917701973378655
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0048,42.84722624838352
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0049,44.789189523398875
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0050,45.847770248413084
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0051,46.51780497342348
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0052,47.248117748379705
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0053,48.10854029840231
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0054,48.847769123375414
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0055,49.527745473384854
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0056,50.27062389838696
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0057,50.88775357341766
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0058,52.467660298407075
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0059,53.268479223370555
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0060,54.178462098419665
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0061,54.907767773389814
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0062,55.58782727342844
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0063,56.32815559840202
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0064,57.29846277338267
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0065,58.0281287984252
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0066,58.87779662340879
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0067,59.43784507340193
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0068,61.47721972340345
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0069,62.65824147337675
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0070,63.390300523400306
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0071,64.06835504841804
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0072,65.16560282337666
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0073,65.90785297340155
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0074,66.88503424841166
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0075,67.62787572342157
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0076,68.33310344839096
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0077,69.97831447339058
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0078,70.70785114842653
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0079,71.50783854842186
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0080,72.18854479837418
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0081,72.9278752734065
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0082,73.59779909837246
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0083,74.28524089837074
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0084,75.20854704838992
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0085,75.87806434839963
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0086,76.6179676734209
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0087,78.548085973382
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0088,79.30834377342462
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0089,80.15871379840374
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0090,80.83804337340594
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0091,81.87807132339478
